quazip-qt5 1.4-1
raptor 2.0.15-21
rasqal 1:0.9.33-5
rav1e 0.6.3-1
re2 1:20230201-1
readline 8.2.001-2
redland 1:1.0.17-8
rest 0.8.1+r4+ge5ee6ef-1
rhash 1.4.3-1
ripgrep 13.0.0-3
rsync 3.2.7-3
rtkit 0.13-2
rtmpdump 1:2.4.r99.f1b83c1-2
rubberband 3.1.2-1
run-parts 5.5-1
runc 1.1.4-1
rust-analyzer-git 1:0.0.0.21084.g342c3c42b-1
sbc 2.0-1
sbt 1:1.8.0-1
sdl2 2.26.3-1
sed 4.9-1
semver 7.3.8-1
serd 0.30.16-1
serf 1.3.9-8
shaderc 2022.4-1
shadow 4.13-2
shared-mime-info 2.2+13+ga2ffb28-1
slang 2.3.3-2
snappy 1.1.9-2
solid 5.102.0-1
sonnet 5.102.0-1
sord 0.16.14-1
sound-theme-freedesktop 0.8-5
soundtouch 2.3.2-1
source-highlight 3.1.9-10
spandsp 0.0.6-4
speex 1.2.1-1
speexdsp 1.2.1-1
spirv-tools 2022.4-1
spotify-qt 3.9-1
spotifyd 0.3.4-1
sqlite 3.40.1-1
sratom 0.6.14-1
srt 1.5.1-3
startup-notification 0.12-7
subversion 1.14.2-6
sudo 1.9.12.p2-2
suitesparse 7.0.1-2
svt-av1 1.4.1-1
svt-hevc 1.5.1-2
sxhkd 0.6.2-2
sysfsutils 2.1.1-1
systemd 252.5-1
systemd-libs 252.5-1
systemd-sysvcompat 252.5-1
taglib 1.13-1
tar 1.34-1
tbb 2021.5.0-2
tcl 8.6.13-1
tdb 1.4.8-1
tensorflow 2.11.0-2
texinfo 7.0.2-2
thin-provisioning-tools 1.0.0-1
tk 8.6.13-1
tor-browser 12.0.2-1
tpm2-tss 3.2.0-3
tracker3 3.4.2-2
transmission-gtk 3.00-6
tree-sitter 0.20.7-1
tslib 1.22-1
ttf-font-awesome 6.2.1-1
ttf-liberation 2.1.5-1
ttf-material-design-icons 4.0.0-1
tzdata 2022g-2
udisks2 2.9.4-1
ueberzug 18.1.9-4
unbound 1.17.1-1
unibilium 2.1.1-1
unrar 1:6.2.5-1
unzip 6.0-19
upower 1.90.0-3
usbmuxd 1.1.1-2
util-linux 2.38.1-1
util-linux-libs 2.38.1-1
v4l-utils 1.22.1-1
valgrind 3.19.0-7
vi 1:070224-6
vid.stab 1.1-3
vim-runtime 9.0.1302-1
visual-studio-code-bin 1.75.1-1
vlc 3.0.18-6
vmaf 2.3.1-1
volume_key 0.3.12-7
vulkan-headers 1:1.3.240-1
vulkan-icd-loader 1.3.240-1
wayland 1.21.0-2
wayland-protocols 1.31-1
webcamoid 9.0.0-2
webkit2gtk 2.38.4-1
webrtc-audio-processing 0.3.1-3
wget 1.21.3-1
which 2.21-5
wildmidi 0.4.5-1
woff2 1.0.2-4
wpa_supplicant 2:2.10-8
wpebackend-fdo 1.14.0-1
x264 3:0.164.r3095.baee400-4
x265 3.5-3
xapp 2.4.2-1
xbitmaps 1.1.2-3
xcb-proto 1.15.2-2
xcb-util 0.4.1-1
xcb-util-cursor 0.1.4-1
xcb-util-image 0.4.1-2
xcb-util-keysyms 0.4.1-4
xcb-util-renderutil 0.3.10-1
xcb-util-wm 0.4.2-1
xcb-util-xrm 1.3-2
xclip 0.13-3
xdg-dbus-proxy 0.1.4-1
xdg-utils 1.1.3+25+g8ae0263-1
xf86-input-libinput 1.2.1-1
xf86-video-intel 1:2.99.917+923+gb74b67f0-1
xfsprogs 6.1.1-2
xkeyboard-config 2.37-1
xmlsec 1.2.37-1
xorg-bdftopcf 1.1.1-1
xorg-font-util 1.3.3-1
xorg-fonts-encodings 1.0.6-1
xorg-mkfontscale 1.2.2-1
xorg-server 21.1.7-1
xorg-server-common 21.1.7-1
xorg-server-xephyr 21.1.7-1
xorg-server-xvfb 21.1.7-1
xorg-setxkbmap 1.3.3-1
xorg-xauth 1.1.2-1
xorg-xdpyinfo 1.3.3-4
xorg-xinput 1.6.3-3
xorg-xkbcomp 1.4.6-1
xorg-xmodmap 1.0.11-1
xorg-xprop 1.2.6-1
xorg-xrandr 1.5.2-1
xorg-xrdb 1.2.1-1
xorg-xset 1.2.5-1
xorg-xwininfo 1.1.5-3
xorgproto 2022.2-1
xsp 4.7.1-1
xterm 378-1
xvidcore 1.3.7-2
xxhash 0.8.1-3
xz 5.4.1-1
yay 11.3.2-1
youtube-dl 2021.12.17-1
yt-dlp 2023.01.06-1
zbar 0.23.90-1
zeromq 4.3.4-2
zimg 3.0.4-1
zita-alsa-pcmi 0.6.1-1
zita-resampler 1.8.0-1
zlib 1:1.2.13-2
zstd 1.5.2-8
zvbi 0.2.40-1
zxing-cpp 2.0.0-1
